Census_Year,GEO_FIPS,METAREA,Race,RaceNum,V6,V7,V8,V9,V10,V11,V12,Total,GINI,HighSchoolorLess,SomeCollege,CollegeGrad,PostCollegeGrad,EDUCATTotal,SEXmale,SEXfemale,SEXtotal,ManagerialandProfessional,TechnicalSalesandAdministrative,Service,FarmingForrestryandFishing,PrecisonProductionCraftandRepairers,OperativesandLaborers,NonOccupationalResponses,OCCCATTotal,filter_$,TheilOccDiversity
1990,10740.0,"Albuquerque, NM",Hispanic,4.0,17946.0,75561.0,24087.0,4071.0,1167.0,165.0,2826.0,125823.0,0.5515586948506821,88953.0,25953.0,6885.0,4032.0,125823.0,60978.0,64845.0,125823.0,16143.0,31548.0,19515.0,2037.0,12138.0,14517.0,29925.0,125823.0,1.0,0.9159963526082244
1990,10740.0,"Albuquerque, NM",White NH,5.0,18150.0,111309.0,54486.0,20574.0,11790.0,1242.0,3564.0,221115.0,0.5230689219438962,82047.0,68994.0,41649.0,28425.0,221115.0,106746.0,114369.0,221115.0,62358.0,62346.0,18621.0,1848.0,13380.0,14187.0,48375.0,221115.0,1.0,0.8431606408875172
1990,10740.0,"Albuquerque, NM",Total,6.0,39519.0,202077.0,83115.0,25584.0,13446.0,1467.0,6897.0,372105.0,0.5408287172132329,183981.0,102726.0,51204.0,34194.0,372105.0,180594.0,191511.0,372105.0,82641.0,100950.0,41715.0,4071.0,27810.0,31323.0,83595.0,372105.0,1.0,0.8841314928542323
1990,10900.0,"Allentown-Bethlehem-Easton, PA/NJ",All OtherNH,1.0,208.0,322.0,61.0,22.0,29.0,0.0,18.0,660.0,0.6972862908588106,364.0,191.0,105.0,0.0,660.0,249.0,411.0,660.0,83.0,182.0,113.0,0.0,51.0,98.0,133.0,660.0,1.0,0.8849361581041418
1990,10900.0,"Allentown-Bethlehem-Easton, PA/NJ",Asian NH,2.0,1118.0,2065.0,817.0,324.0,299.0,54.0,271.0,4948.0,0.6807346103083305,1702.0,1038.0,810.0,1398.0,4948.0,2645.0,2303.0,4948.0,1510.0,1240.0,339.0,72.0,237.0,420.0,1130.0,4948.0,1.0,0.8460785680910056
1990,10900.0,"Allentown-Bethlehem-Easton, PA/NJ",Black NH,3.0,718.0,4632.0,1640.0,476.0,82.0,0.0,131.0,7679.0,0.500202806837809,5142.0,1744.0,538.0,255.0,7679.0,3908.0,3771.0,7679.0,820.0,1854.0,1383.0,54.0,392.0,1623.0,1553.0,7679.0,1.0,0.8886253277630625
1990,10900.0,"Allentown-Bethlehem-Easton, PA/NJ",Hispanic,4.0,2288.0,10120.0,3341.0,550.0,96.0,0.0,405.0,16800.0,0.5468545309195668,13031.0,2609.0,828.0,332.0,16800.0,8271.0,8529.0,16800.0,1451.0,2843.0,2411.0,294.0,1647.0,4170.0,3984.0,16800.0,1.0,0.9128853065114265
1990,10900.0,"Allentown-Bethlehem-Easton, PA/NJ",White NH,5.0,32889.0,211694.0,106845.0,32353.0,12894.0,1587.0,7268.0,405530.0,0.513098208977182,253400.0,82914.0,46580.0,22636.0,405530.0,191749.0,213781.0,405530.0,71029.0,101053.0,40165.0,3902.0,34446.0,57376.0,97559.0,405530.0,1.0,0.9013568368860775
1990,10900.0,"Allentown-Bethlehem-Easton, PA/NJ",Total,6.0,37221.0,228833.0,112704.0,33725.0,13400.0,1641.0,8093.0,435617.0,0.518065996149982,273639.0,88496.0,48861.0,24621.0,435617.0,206822.0,228795.0,435617.0,74893.0,107172.0,44411.0,4322.0,36773.0,63687.0,104359.0,435617.0,1.0,0.9036227525404621
1990,12060.0,"Atlanta, GA",All OtherNH,1.0,601.0,2039.0,1160.0,318.0,53.0,0.0,96.0,4267.0,0.5403553657981366,2061.0,1481.0,395.0,330.0,4267.0,2223.0,2044.0,4267.0,828.0,1047.0,375.0,0.0,485.0,908.0,624.0,4267.0,1.0,0.8912109565716578
1990,12060.0,"Atlanta, GA",Asian NH,2.0,7875.0,16691.0,6149.0,2442.0,1535.0,277.0,1075.0,36044.0,0.645050264259788,16925.0,6842.0,7031.0,5246.0,36044.0,18463.0,17581.0,36044.0,8643.0,8918.0,4388.0,253.0,2247.0,4372.0,7223.0,36044.0,1.0,0.88912994748202
1990,12060.0,"Atlanta, GA",Black NH,3.0,60381.0,277002.0,121461.0,22276.0,4923.0,466.0,10945.0,497454.0,0.5324722900076018,293734.0,130547.0,52306.0,20867.0,497454.0,225425.0,272029.0,497454.0,70873.0,142222.0,80819.0,4680.0,29573.0,78344.0,90943.0,497454.0,1.0,0.8963969582753716
1990,12060.0,"Atlanta, GA",Hispanic,4.0,5675.0,19515.0,8018.0,2274.0,965.0,185.0,841.0,37473.0,0.5761146160446909,20708.0,8951.0,5416.0,2398.0,37473.0,21176.0,16297.0,37473.0,6729.0,9059.0,6019.0,640.0,5242.0,4917.0,4867.0,37473.0,1.0,0.9361071239489974
1990,12060.0,"Atlanta, GA",White NH,5.0,113275.0,536269.0,391647.0,153264.0,86797.0,12876.0,32873.0,1327001.0,0.5308314633362816,570076.0,370977.0,272629.0,113319.0,1327001.0,642099.0,684902.0,1327001.0,363957.0,435477.0,98606.0,9394.0,103076.0,101082.0,215409.0,1327001.0,1.0,0.8419772930037619
1990,12060.0,"Atlanta, GA",Total,6.0,187807.0,851516.0,528435.0,180574.0,94273.0,13804.0,45830.0,1902239.0,0.5429842541704458,903504.0,518798.0,337777.0,142160.0,1902239.0,909386.0,992853.0,1902239.0,451030.0,596723.0,190207.0,14967.0,140623.0,189623.0,319066.0,1902239.0,1.0,0.8711421313133304
1990,12420.0,"Austin, TX",All OtherNH,1.0,220.0,1384.0,502.0,129.0,0.0,23.0,146.0,2404.0,0.6230112496422153,1106.0,918.0,268.0,112.0,2404.0,1282.0,1122.0,2404.0,387.0,569.0,317.0,51.0,407.0,317.0,356.0,2404.0,1.0,0.9428380883632297
1990,12420.0,"Austin, TX",Asian NH,2.0,3375.0,7389.0,1705.0,554.0,348.0,16.0,100.0,13487.0,0.5768711086872774,4242.0,3612.0,2928.0,2705.0,13487.0,6819.0,6668.0,13487.0,3347.0,3741.0,2120.0,17.0,339.0,1460.0,2463.0,13487.0,1.0,0.8451585284267329
1990,12420.0,"Austin, TX",Black NH,3.0,6775.0,31862.0,9124.0,1499.0,275.0,91.0,1053.0,50679.0,0.5349789335173774,28808.0,15486.0,4460.0,1925.0,50679.0,23945.0,26734.0,50679.0,7261.0,13036.0,11023.0,526.0,1919.0,5554.0,11360.0,50679.0,1.0,0.8779130222229833
