V12,CollegeGrad,Service,Race_Asian NH,Race_Black NH,Race_White NH
0.0,104.0,271.0,0,0,0
195.0,1356.0,643.0,1,0,0
1089.0,3143.0,9443.0,0,1,0
1013.0,1406.0,5467.0,0,0,0
7599.0,58553.0,24536.0,0,0,1
37.0,231.0,504.0,0,0,0
8141.0,55417.0,57537.0,1,0,0
316.0,1485.0,1508.0,0,1,0
1111.0,2129.0,5657.0,0,0,0
3233.0,34517.0,17913.0,0,0,1
161.0,893.0,1423.0,0,0,0
1963.0,19398.0,8821.0,1,0,0
9906.0,36889.0,72771.0,0,1,0
12890.0,19539.0,80869.0,0,0,0
35604.0,286834.0,101792.0,0,0,1
80.0,107.0,329.0,0,0,0
233.0,1449.0,1180.0,1,0,0
2767.0,6995.0,24220.0,0,1,0
228.0,1040.0,1186.0,0,0,0
16833.0,108092.0,79424.0,0,0,1
24.0,62.0,218.0,0,0,0
394.0,1401.0,1295.0,1,0,0
2798.0,7768.0,21375.0,0,1,0
319.0,1326.0,1187.0,0,0,0
6998.0,48221.0,30876.0,0,0,1
169.0,481.0,1150.0,0,0,0
419.0,1689.0,1643.0,1,0,0
3155.0,9112.0,27104.0,0,1,0
677.0,2329.0,4314.0,0,0,0
19492.0,152017.0,91307.0,0,0,1
39.0,66.0,294.0,0,0,0
15.0,732.0,348.0,1,0,0
504.0,2112.0,5886.0,0,1,0
51.0,405.0,372.0,0,0,0
8580.0,49905.0,45294.0,0,0,1
160.0,270.0,1239.0,0,0,0
642.0,2646.0,8454.0,1,0,0
1171.0,2333.0,15695.0,0,1,0
1466.0,2133.0,19075.0,0,0,0
8688.0,39572.0,77519.0,0,0,1
0.0,0.0,91.0,0,0,0
0.0,96.0,427.0,1,0,0
1782.0,4705.0,11497.0,0,1,0
29.0,454.0,477.0,0,0,0
5116.0,34122.0,20765.0,0,0,1
809.0,3174.0,4527.0,0,0,0
15728.0,169004.0,58997.0,1,0,0
13448.0,59851.0,90957.0,0,1,0
60763.0,72160.0,321180.0,0,0,0
71721.0,546660.0,202222.0,0,0,1
0.0,114.0,401.0,0,0,0
83.0,596.0,555.0,1,0,0
1945.0,4522.0,18954.0,0,1,0
99.0,334.0,405.0,0,0,0
10317.0,60026.0,51278.0,0,0,1
0.0,67.0,126.0,0,0,0
0.0,214.0,22.0,1,0,0
31.0,109.0,117.0,0,1,0
8755.0,8995.0,21748.0,0,0,0
720.0,7377.0,1963.0,0,0,1
66.0,6.0,213.0,0,0,0
258.0,1296.0,495.0,1,0,0
6732.0,13200.0,45534.0,0,1,0
42.0,537.0,414.0,0,0,0
8412.0,60627.0,26001.0,0,0,1
45.0,250.0,475.0,0,0,0
320.0,4183.0,2961.0,1,0,0
6325.0,13885.0,53610.0,0,1,0
15278.0,58472.0,81884.0,0,0,0
11414.0,77992.0,38810.0,0,0,1
104.0,303.0,785.0,0,0,0
595.0,1947.0,1244.0,1,0,0
4421.0,5893.0,22965.0,0,1,0
682.0,1462.0,4454.0,0,0,0
18572.0,137035.0,92367.0,0,0,1
381.0,607.0,2536.0,0,0,0
1529.0,5602.0,4811.0,1,0,0
1557.0,5743.0,11161.0,0,1,0
